restaurant_name,city,state,url,notes
LA Chews,Atlanta,GA,http://www.lachews.com/,
Restaurant 356,Atlanta,GA,https://www.opentable.com/restaurant-356?corrid=ede1dfa8-39af-480f-b48f-cfb24dc31a3f&p=2&sd=2025-04-24T19%3A00%3A00,
Golden Krust Caribbean Restaurant,Atlanta,GA,https://locations.goldenkrust.com/ll/US/GA/Atlanta/3620-Camp-Creek-Parkway,
Concorde Grill,Atlanta,GA,https://www.marriott.com/en-us/dining/restaurant-bar/atlsa-renaissance-concourse-atlanta-airport-hotel/126555-concorde-grill.mi,
Buenos Dias Pupusas,Atlanta,GA,http://www.buenosdiascafe.com/,
Something Special Restaurant,Atlanta,GA,https://www.facebook.com/SomethingSpecial,
Hungry AF Greenbriar,Atlanta,GA,https://thehungryaf.com/,
Love at First Bite ATL Brunch,Atlanta,GA,https://loveatfirstbiteatl.com/,
Flour + Time Bakery,Atlanta,GA,http://www.flourandtimebakery.com/,
Twisted Soul Cookhouse & Pours,Atlanta,GA,https://www.twistedsoulatl.com/,
Oreatha's At The Point,Atlanta,GA,https://www.oreathas.com/,
Krave,Atlanta,GA,http://kraveatl.com/,
Bacchanalia,Atlanta,GA,http://www.starprovisions.com/bacchanalia/,
the Woodall,Atlanta,GA,https://thewoodallwestside.com/,
Bone Garden Cantina,Atlanta,GA,https://www.bonegardencantina.com/,
Boxcar at Hop City West End,Atlanta,GA,https://www.boxcaratl.com/?utm_source=google&utm_medium=local&utm_campaign=gmb,
Desta Ethiopian Kitchen Westside,Atlanta,GA,https://destaethiopiankitchen.com/destawestside?utm_source=google,
Midtown Social Restaurant & Bar,Atlanta,GA,https://www.midtownsocialatl.com/,
Chicheria Mexican Kitchen,Atlanta,GA,https://www.chicheriamx.com/,
Pera Bistro,Atlanta,GA,http://www.peraatlanta.com/,
Star Provisions Market & Cafe,Atlanta,GA,http://www.starprovisions.com/,
Agavero Cantina - West Midtown,Atlanta,GA,http://www.agaverocantina.com/,
Nuevo Laredo Cantina,Atlanta,GA,https://www.nuevolaredocantina.com/,
The Corner Grille Upper Westside,Atlanta,GA,http://www.tcgrestaurants.com/,
By George restaurant and bar,Atlanta,GA,https://www.bygeorgeatl.com/,
Flavor Rich Restaurant Atlanta,Atlanta,GA,http://atlanta.flavorrichrestaurant.com/,
Utopia Restaurant at the Underground Atlanta,Atlanta,GA,https://utopialoungeatl.com/,
Aviva by Kameel Midtown,Atlanta,GA,https://www.avivabykameel.com/,
Fin & Feathers Restaurants,Atlanta,GA,http://finandfeathersrestaurants.com/,
Lyla Lila,Atlanta,GA,https://www.lylalilaatl.com/,
White Oak,Atlanta,GA,https://www.whiteoakkitchen.com/,
Vurritos Locos,Atlanta,GA,http://www.vurritoslocos.com/,
"The Sun Dial Restaurant, Bar & View",Atlanta,GA,https://www.sundialrestaurant.com/,
El Viñedo Local,Atlanta,GA,https://www.elvinedolocal.com/,
The Optimist,Atlanta,GA,https://www.theoptimistrestaurant.com/,
a mano,Atlanta,GA,https://www.amanoatl.com/,
Cooks & Soldiers,Atlanta,GA,http://cooksandsoldiers.com/,
South City Kitchen Midtown,Atlanta,GA,https://www.southcitykitchen.com/,
Alma Cocina,Atlanta,GA,https://www.alma-atlanta.com/,
Home grown GA Restaurant,Atlanta,GA,https://www.homegrownga.com/,
Gigi's Italian Kitchen & Restaurant,Atlanta,GA,http://gigisitaliankitchenatl.com/,
Poor Calvin's,Atlanta,GA,http://www.poorcalvins.com/,
Little Bear,Atlanta,GA,https://littlebearatl.com/,
Staplehouse,Atlanta,GA,http://staplehouse.com/,
"Agave Restaurant, Est. 2000",Atlanta,GA,https://www.agaverestaurant.com/,
Spice House Midtown,Atlanta,GA,https://www.spicehouseatl.com/,
Treehouse Restaurant and Pub,Atlanta,GA,http://www.treehouseatlanta.com/,
The Greedy Bunch,Atlanta,GA,http://www.thegreedybunch.com/,
Howell's Kitchen and Bar,Atlanta,GA,http://howellskitchenbar.com/,
Farm Grill at The Works,Atlanta,GA,https://brand.page/farmgrill,
The Consulate Restaurant,Atlanta,GA,http://www.theconsulateatlanta.com/,
Catch In The City Restaurant and Bar,Atlanta,GA,http://catchinthecity.com/,
Hollywood ATL Restaurant & Lounge,Atlanta,GA,https://www.thehollywoodatl.com/,
Divan Restaurant & Bar,Atlanta,GA,http://www.divanatlanta.com/,
Pink Lotus Thai Restaurant,Atlanta,GA,https://www.pinklotusthai.com/,
Kenley's Catering And Restaurant,Atlanta,GA,http://www.kenleysrestaurant.com/Welcome.tpl?action=nc&from=Top133,
Tuk Tuk Thai Food Loft,Atlanta,GA,https://www.tuktukatl.com/,
Gio’s Chicken Amalfitano,Atlanta,GA,https://littleitalia.com/#restaurants,
Food Terminal,Atlanta,GA,https://www.foodterminal.com/,
Folk Art Restaurant Inman Park,Atlanta,GA,https://folkartrestaurant.com/folkartrestaurant-inmanpark?utm_source=google,
Campagnolo Restaurant + Bar,Atlanta,GA,http://www.campagnoloatl.com/,
PACO TACOS ATL,Atlanta,GA,http://pacotacosatl.com/,
Mediterranea Restaurant & Bakery,Atlanta,GA,http://www.mediterraneaatl.com/,
1201 Restaurant,Atlanta,GA,https://the1201restaurant.com/?utm_source=google,
Paschal's Restaurant & Bar,Atlanta,GA,https://www.paschalsatlanta.com/,
Local Motives Restaurant,Atlanta,GA,https://instagram.com/localmotivesatl?igshid=YmMyMTA2M2Y=,
BUFFALO BAR,Atlanta,GA,http://buffalobaratl.com/,
Margaritaville Restaurant - Atlanta,Atlanta,GA,https://www.margaritavilleatlanta.com/,
Flower Child Westside Provisions,Atlanta,GA,https://www.iamaflowerchild.com/locations/atlanta-westside-provisions/?utm_source=Google&utm_medium=Organic&utm_campaign=Maps,
The Beautiful Restaurant,Atlanta,GA,http://www.beautifulrestaurant-atlanta.com/,
BrickStone Cafe & Restaurant,Atlanta,GA,http://brickstonecafe.com/,
Tyde Tate Kitchen,Atlanta,GA,https://www.tydetatekitchen.com/,
FIGO Pasta Upper Westside/Buckhead,Atlanta,GA,http://www.figopasta.com/,
Mushi Ni,Atlanta,GA,https://www.mushini.com/,
Yumbii @ Moores Mill,Atlanta,GA,https://yumbii.com/yumbiimooresmill?utm_source=google,
Ted's Montana Grill,Atlanta,GA,https://www.tedsmontanagrill.com/tmg070.html,
Murphy's Restaurant,Atlanta,GA,https://www.murphysatlanta.com/,
