Company Name - Active Companies,Location Name,Location Address
MPGR HOSPITALITY,SUSHI MAS - WYNWOOD,"2611 N Miami Ave, Miami, FL 33127, USA"
Ariete Hospitality Group,Ariete,"3540 Main Hwy, Coconut Grove, FL 33133, USA"
Sushi Sake Corporate,Bird Road,"14629 Southwest 42nd Street, Miami, FL, USA"
Julia & Henry’s Hospitality LLC,Julia & Henry’s Hospitality LLC,"200 E Flagler St, Miami, FL 33131, USA"
Fire Pit Hospitality,Maxwell Bros. Clothing Store,"17395 S Dixie Hwy, Miami, FL 33157, USA"
Miami,Delilah Miami,"301 Brickell Key Dr, Miami, FL 33131, USA"
Vegan Cuban Cuisine,Vegan Cuban Cuisine,"9460 SW 72nd St, Miami, FL 33173, USA"
Rice Mediterranean Kitchen,Pinecrest,"12313 S Dixie Hwy, Miami, FL 33156, USA"
Baja Restaurant Group,Tacos El Porky (Downtown Miami),"16 W Flagler St, Miami, FL 33130, USA"
Baby Jane's,Baby Jane's,"500 Brickell Ave #105e, Miami, FL 33131, USA"
Chifa Du Kang,Chifa Du Kang Bird Road,"9899 SW 40th St, Miami, FL 33165, USA"
Black Market,Ben's Pizza Dadeland,"7535 N Kendall Dr, Miami, FL 33156, USA"
(Miami) MCA-Airports,21  MIA-F Maestro de la Pizza,
Pura Vida Miami - FL,PV02 - Edgewater,"1756 North Bayshore Drive, Miami, FL, USA"
El taquito 2,El taquito 2,"1380 Southwest 8th Street, Miami, FL, United States"
Tacos and Tattoos,Tacos and Tattoos,"11790 Southwest 104th Street, Miami, FL, United States"
Oakberry - MiMO,Oakberry - MiMO,"6912 Biscayne Blvd, Miami, FL 33138, USA"
Sushi Sake Corporate,Biscayne,"900 Biscayne Blvd, Miami, FL, USA"
Sushi Sake Corporate,Westchester,"8657 Southwest 87th Avenue, Miami, FL, USA"
Tacombi - FL,Brickell,"69 SW 7th St, Miami, FL 33130, USA"
Sweet Caroline Karaoke Bar,Sweet Caroline Karaoke Bar,"1111 SW 1st Ave, Miami, FL 33130, USA"
Amor Miami,AMOR MIAMI,"2322 N Miami Ave, Miami, FL 33127, USA"
(Miami) MCA-Airports,20  MIA-E Maestro de la Pizza,
Miam Wynwood,Miam Wynwood,"2750 NW 3rd Ave, Miami, FL 33127, USA"
Museum of Ice Cream,Museum of Ice Cream (MIA),"851 NE 1st Ave ste 134, Miami, FL 33132, USA"
Gastronomica Restaurant Group,Old's Havana,"1442 Southwest 8th Street, Miami, FL, USA"
Electric Lady,Electric Lady,"144 NW 23rd St, Miami, FL 33127, USA"
Jon and Vinny's Miami,Jon and Vinny's Miami,"1100 NW 23rd St, Miami, FL 33127, USA"
MIKA,Mika,"Miami, FL 33134, USA"
Poke + Go,Poke + Go,"Miami, FL, USA"
Black Market,Ben's Pizza 2,"401 Biscayne Blvd, Miami, FL 33132, USA"
SKINNY LOUIE,MIAMI HEAT ARENA,"601 Biscayne Blvd, Miami, FL 33132, EE. UU."
